"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"251",347,"MSB","Fish specimens","MSB:Fish:68501",340,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.225523,-106.597651,5196,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande at Corrales Road, N of Albuquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:03:17.0","control","1981-1990","control_1981-1990",5
"261",292,"MSB","Fish specimens","MSB:Fish:68528",99,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"New Mexico: Sandoval Co., Rio Grande Drainage. Rio Grande, Hwy 44 just W of Bernalillo. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,16,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:06:48.0","control","1981-1990","control_1981-1990",5
"271",323,"MSB","Fish specimens","MSB:Fish:5272",28,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.256259,-106.594367,204,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.4 kilometers downstream of Arroyo de los Montoyas, ca 9.4 kilometers downstream of US HWY 550 bridge, Bernalillo.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","2019-05-27 02:11:26.0","control","1981-1990","control_1981-1990",5
"281",237,"MSB","Fish specimens","MSB:Fish:5263",63,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach; SEE ALSO KRB 612, ALSO COLLECTED 1 LARVAL FISH.","2019-05-27 02:11:25.0","control","1981-1990","control_1981-1990",5
"291",338,"MSB","Fish specimens","MSB:Fish:5255",11,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.299262,-106.578916,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 3.5 kilometers downstream of Bernalillo Bridge, NM State HWY 44 crossing.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","2019-05-27 02:14:50.0","control","1981-1990","control_1981-1990",5
"301",293,"MSB","Fish specimens","MSB:Fish:5247",135,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1986,7,13,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania; ALSO KRB-611.","2019-05-27 02:57:54.0","control","1981-1990","control_1981-1990",5
"331",298,"MSB","Fish specimens","MSB:Fish:5803",24,"Hybognathus amarus","Cyprinidae","tissue (frozen); whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1987,9,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Taxonomic history: Voucher; Originally labeled as KRB-706 on field labels (this isTaos Co. Rio Grande, 27 AUG 1987). This mistake caused split lots with genetic samples recataloged as MSB 13088.  Now corrected. 10 AUG 2015 AMS","2019-05-27 04:46:03.0","control","1981-1990","control_1981-1990",5
"351",296,"MSB","Fish specimens","MSB:Fish:7788",26,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1988,5,25,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:32:35.0","control","1981-1990","control_1981-1990",5
"361",283,"MSB","Fish specimens","MSB:Fish:7686",10,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.257454,-106.594724,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the mouth of Rio Rancho Flood Control Canal",NA,"",1989,4,7,"Collector(s): Kevin R. Bestgen, H. T. Bestgen","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, H. T. Bestgen","2019-05-27 03:38:43.0","control","1981-1990","control_1981-1990",5
"137",282,"MSB","Fish specimens","MSB:Fish:38957",87,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"1.5 meters",1997,8,20,"Collector(s): Steven P. Platania, Robert K. Dudley","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley; LOTS OF FISH BUT HIGH FLOW LIMITED ACCESSIBILITY","2019-05-27 05:23:49.0","control","1991-2000","control_1991-2000",5
"80",238,"MSB","Fish specimens","MSB:Fish:18909",22,"Hybognathus amarus","Cyprinidae","whole organism; gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,3,10,"Collector(s): Steven P. Platania, Peter T. Mulvaney, Robin A. Abell","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Peter T. Mulvaney, Robin A. Abell; WATER WAS CLEAR.","2019-05-27 02:52:14.0","control","1991-2000","control_1991-2000",5
"136",277,"MSB","Fish specimens","MSB:Fish:39082",23,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",1997,10,15,"Collector(s): Robert K. Dudley, W. H. Brandenburg, James P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, W. Howard Brandenburg, James P. Larson; OVER 0.5 M OF WATER SPILLING OVER ENTIRE LENGTH OF DAM","2019-05-27 05:06:05.0","control","1991-2000","control_1991-2000",5
"138",362,"MSB","Fish specimens","MSB:Fish:43362",10,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,".7 meters",1999,8,25,"Collector(s): Robert K. Dudley, Joshua R. Walters, Michael A. Farrington","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Joshua R. Walters, Michael A. Farrington; FISH CONGREGATING IN WARM WATER, LOW VELOCITY AREAS","2019-05-27 05:11:53.0","control","1991-2000","control_1991-2000",5
"84",243,"MSB","Fish specimens","MSB:Fish:49970",97,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,5,5,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 2000.  Platania, S.P. 2000 Report to USFWS  Effects of four water temperature treatments on survival, growth, and developmental rates of Rio Grande silvery minnow, Hybognathus amarus, eggs and larvae.; ; All adult specimens preserved 6 May 1994","2019-05-27 03:11:15.0","control","1991-2000","control_1991-2000",5
"1061",263,"MSB","Fish specimens","MSB:Fish:24540",20,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.21127778,-106.6116667,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"North Diversion Channel, at its confluence with the Rio Grande, Sandia Pueblo, Albuquerque.",NA,"",1995,5,18,"Collector(s): John P. Sherrod","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-A4; Storage: 70% EtOH, 76-A4; TRAP SET 150 M UPSTREAM FROM CONFLUENCE OF RIO GRANDE;","2019-05-27 02:00:04.0","control","1991-2000","control_1991-2000",5
"601",230,"MSB","Fish specimens","MSB:Fish:18873",45,"Hybognathus amarus","Cyprinidae","stomach (formalin-fixed, 70% ethanol); gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.5 meters",1993,12,1,"Collector(s): Steven P. Platania, Gregory M. Lein, Peter T. Mulvaney","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Gregory M. Lein, Peter T. Mulvaney; 13 SEINE HAULS","2019-05-27 02:55:06.0","control","1991-2000","control_1991-2000",5
"87",246,"MSB","Fish specimens","MSB:Fish:19004",23,"Hybognathus amarus","Cyprinidae","whole organism; gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,6,28,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach; WATER WAS RELATIVELY CLEAR.","2019-05-27 03:26:18.0","control","1991-2000","control_1991-2000",5
"86",245,"MSB","Fish specimens","MSB:Fish:19526",24,"Hybognathus amarus","Cyprinidae","whole organism; gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,9,16,"Collector(s): Gregory M. Lein, James P. Larson","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Gregory M. Lein, James P. Larson; WATER WAS TURBID.","2019-05-27 03:20:04.0","control","1991-2000","control_1991-2000",5
"125",276,"MSB","Fish specimens","MSB:Fish:30346",10,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"1.5 meters",1996,6,27,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Robert K. Dudley; RAINS LAST NIGHT HAVE MADE THE WATER  VERY SILTY, REDUCING VISIBILITY TO 0 CM.","2019-05-27 05:00:20.0","control","1991-2000","control_1991-2000",5
"1",359,"MSB","Fish specimens","MSB:Fish:1171",34,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 1994. Contribution 69 of Larval Fish Lab, CSU:101pp; Redet. K. R. Bestgen and D.L. Propst.","2019-05-26 21:37:20.0","impact","1931-1940","impact_1931-1940",5
"2",285,"MSB","Fish specimens","MSB:Fish:1150",121,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.906619,-106.685289,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, just north of Valencia County.",NA,"",1939,6,9,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; MSB01-003 Caudal sections removed from 2 of 129 specimens for DNA analysis (57.5 and 58.5mm SL), May 2001  MSB01-024  5 of 129 specimens for DNA analysis (42, 48, 48.5, 53, and 54.5mm SL), December 2001","2019-05-26 21:13:01.0","impact","1931-1940","impact_1931-1940",5
"310",358,"MSB","Fish specimens","MSB:Fish:1122",27,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,9,28,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 1994. Contribution 69 CSU Larval Fish Lab, Tech. Pub. No.101pp; Redet. K. R. Bestgen and D.L. Propst.","2019-05-26 21:18:18.0","impact","1931-1940","impact_1931-1940",5
"410",360,"MSB","Fish specimens","MSB:Fish:1149",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:37:26.0","impact","1931-1940","impact_1931-1940",5
"5",361,"MSB","Fish specimens","MSB:Fish:1160",24,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,28,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:59.0","impact","1931-1940","impact_1931-1940",5
"6",357,"MSB","Fish specimens","MSB:Fish:1162",33,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0","impact","1941-1950","impact_1941-1950",5
"91",346,"MSB","Fish specimens","MSB:Fish:1130",187,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.87537,-106.717837,650,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.6 kilometers downstream of NM HWY 147, Isleta.",NA,"",1949,10,29,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 21:56:44.0","impact","1941-1950","impact_1941-1950",5
"101",270,"MSB","Fish specimens","MSB:Fish:1154",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929201,-106.681499,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Isleta railroad bridge.",NA,"",1949,10,21,"Collector(s): William J. Koster, Kenneth R. Coburn","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn","2019-05-26 22:12:13.0","impact","1941-1950","impact_1941-1950",5
"11",223,"MSB","Fish specimens","MSB:Fish:1131",147,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,24,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; N=147 confirmed December 2003","2019-05-26 21:41:59.0","impact","1951-1960","impact_1951-1960",5
"131",305,"MSB","Fish specimens","MSB:Fish:4161",25,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1977,8,5,"Collector(s): Charles W. Painter, D. L. Chavez, D. Schneider","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Schneider","2019-05-27 03:13:15.0","impact","1971-1980","impact_1971-1980",5
"143",272,"MSB","Fish specimens","MSB:Fish:3966",27,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.134883,-106.690838,253,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, near return to Rio Grande, south of Montano Road, Albuquerque.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:32:13.0","impact","1971-1980","impact_1971-1980",5
"16",306,"MSB","Fish specimens","MSB:Fish:4423",1002,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,8,3,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:13:18.0","impact","1971-1980","impact_1971-1980",5
"171",308,"MSB","Fish specimens","MSB:Fish:4384",270,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0","impact","1971-1980","impact_1971-1980",5
"182",324,"MSB","Fish specimens","MSB:Fish:4096",455,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10625,-106.692633,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at US Interstate 40 bridge, south of Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Collection in two jars.  Original count N=453","2019-05-27 03:13:13.0","impact","1971-1980","impact_1971-1980",5
"193",269,"MSB","Fish specimens","MSB:Fish:4984",307,"Hybognathus amarus","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.196977,-106.642444,102,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:11:28.0","impact","1971-1980","impact_1971-1980",5
"231",317,"MSB","Fish specimens","MSB:Fish:68463",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande, Hwy 66, Old Town Bridge in Albquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:38:47.0","impact","1981-1990","impact_1981-1990",5
"311",337,"MSB","Fish specimens","MSB:Fish:5825",139,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.875039,-106.717581,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, east of Bosque Farms at end of NM State HWY 147",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"321",302,"MSB","Fish specimens","MSB:Fish:5814",808,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Collection in two jars.  N=50 GIFT(UF95397).","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"341",309,"MSB","Fish specimens","MSB:Fish:7593",20,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1988,5,24,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:29:19.0","impact","1981-1990","impact_1981-1990",5
"371",340,"MSB","Fish specimens","MSB:Fish:11247",32,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1992,7,28,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:45:14.0","impact","1991-2000","impact_1991-2000",5
"681",344,"MSB","Fish specimens","MSB:Fish:19001",236,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1994,6,28,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach","2019-05-27 03:26:17.0","impact","1991-2000","impact_1991-2000",5
"521",258,"MSB","Fish specimens","MSB:Fish:19184",63,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.986836,-106.685821,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 3.4 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 03:29:25.0","impact","1991-2000","impact_1991-2000",5
"461",279,"MSB","Fish specimens","MSB:Fish:18820",38,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.856849,-106.719963,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion dam, Isleta Pueblo.",NA,"",1993,8,13,"Collector(s): Christopher S. Altenbach, James P. Larson, Mariel L. Campbell","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Christopher S. Altenbach, James P. Larson, Mariel L. Campbell","2019-05-27 02:52:12.0","impact","1991-2000","impact_1991-2000",5
