"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"251",347,"MSB","Fish specimens","MSB:Fish:68501",340,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.225523,-106.597651,5196,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande at Corrales Road, N of Albuquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:03:17.0","control","1981-1990","control_1981-1990",5
"261",292,"MSB","Fish specimens","MSB:Fish:68528",99,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"New Mexico: Sandoval Co., Rio Grande Drainage. Rio Grande, Hwy 44 just W of Bernalillo. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,16,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:06:48.0","control","1981-1990","control_1981-1990",5
"271",323,"MSB","Fish specimens","MSB:Fish:5272",28,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.256259,-106.594367,204,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.4 kilometers downstream of Arroyo de los Montoyas, ca 9.4 kilometers downstream of US HWY 550 bridge, Bernalillo.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","2019-05-27 02:11:26.0","control","1981-1990","control_1981-1990",5
"281",237,"MSB","Fish specimens","MSB:Fish:5263",63,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach; SEE ALSO KRB 612, ALSO COLLECTED 1 LARVAL FISH.","2019-05-27 02:11:25.0","control","1981-1990","control_1981-1990",5
"291",338,"MSB","Fish specimens","MSB:Fish:5255",11,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.299262,-106.578916,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 3.5 kilometers downstream of Bernalillo Bridge, NM State HWY 44 crossing.",NA,"",1986,8,12,"Collector(s): Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania, Christopher S. Altenbach","2019-05-27 02:14:50.0","control","1981-1990","control_1981-1990",5
"301",293,"MSB","Fish specimens","MSB:Fish:5247",135,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1986,7,13,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania; ALSO KRB-611.","2019-05-27 02:57:54.0","control","1981-1990","control_1981-1990",5
"331",298,"MSB","Fish specimens","MSB:Fish:5803",24,"Hybognathus amarus","Cyprinidae","tissue (frozen); whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1987,9,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Taxonomic history: Voucher; Originally labeled as KRB-706 on field labels (this isTaos Co. Rio Grande, 27 AUG 1987). This mistake caused split lots with genetic samples recataloged as MSB 13088.  Now corrected. 10 AUG 2015 AMS","2019-05-27 04:46:03.0","control","1981-1990","control_1981-1990",5
"351",296,"MSB","Fish specimens","MSB:Fish:7788",26,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1988,5,25,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:32:35.0","control","1981-1990","control_1981-1990",5
"361",283,"MSB","Fish specimens","MSB:Fish:7686",10,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.257454,-106.594724,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the mouth of Rio Rancho Flood Control Canal",NA,"",1989,4,7,"Collector(s): Kevin R. Bestgen, H. T. Bestgen","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, H. T. Bestgen","2019-05-27 03:38:43.0","control","1981-1990","control_1981-1990",5
"591",325,"MSB","Fish specimens","MSB:Fish:18782",106,"Hybognathus amarus","Cyprinidae","stomach (formalin-fixed, 70% ethanol); gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales Siphon (Rio Rancho-Corrales municipal limits).",NA,".5 meters-2 meters",1993,9,16,"Collector(s): Brian K. Lang, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Brian K. Lang, Steven P. Platania; 17 SEINE HAULS","2019-05-27 02:55:05.0","control","1991-2000","control_1991-2000",5
"78",231,"MSB","Fish specimens","MSB:Fish:19564",10,"Hybognathus amarus","Cyprinidae","stomach (formalin-fixed, 70% ethanol); gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 4 miles downstream of NM State HWY 44 bridge, at Rio Rancho Wastewater treatment plant, Rio Rancho.",NA,"1.5 meters",1994,11,21,"Collector(s): Steven P. Platania, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Gregory M. Lein","2019-05-27 03:16:49.0","control","1991-2000","control_1991-2000",5
"82",241,"MSB","Fish specimens","MSB:Fish:18928",16,"Hybognathus amarus","Cyprinidae","whole organism; gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,4,16,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach","2019-05-27 03:01:26.0","control","1991-2000","control_1991-2000",5
"133",234,"MSB","Fish specimens","MSB:Fish:39103",70,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.5 meters",1997,10,15,"Collector(s): Robert K. Dudley, W. H. Brandenburg, James P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, W. Howard Brandenburg, James P. Larson; MOST SAMPLING CONDUCTED ALONG SHORELINES","2019-05-27 05:23:46.0","control","1991-2000","control_1991-2000",5
"112",255,"MSB","Fish specimens","MSB:Fish:25010",80,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.25 meters",1995,8,2,"Collector(s): Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Christopher S. Altenbach","2019-05-27 04:42:53.0","control","1991-2000","control_1991-2000",5
"115",365,"MSB","Fish specimens","MSB:Fish:25427",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"1 meter",1995,10,23,"Collector(s): Steven P. Platania, Gregory M. Lein, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Gregory M. Lein, Robert K. Dudley","2019-05-27 04:57:08.0","control","1991-2000","control_1991-2000",5
"401",288,"MSB","Fish specimens","MSB:Fish:11953",20,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28086111,-106.5988056,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Corrales Waterway Canal, ca. 0.7 miles south of NM State Route 528/46 intersection, Corrales.",NA,"",1992,9,24,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:23.0","control","1991-2000","control_1991-2000",5
"79",236,"MSB","Fish specimens","MSB:Fish:18967",26,"Hybognathus amarus","Cyprinidae","whole organism; gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,6,10,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach; WATER WAS CLEAR & FAST.","2019-05-27 02:07:18.0","control","1991-2000","control_1991-2000",5
"138",362,"MSB","Fish specimens","MSB:Fish:43362",10,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,".7 meters",1999,8,25,"Collector(s): Robert K. Dudley, Joshua R. Walters, Michael A. Farrington","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Joshua R. Walters, Michael A. Farrington; FISH CONGREGATING IN WARM WATER, LOW VELOCITY AREAS","2019-05-27 05:11:53.0","control","1991-2000","control_1991-2000",5
"1131",315,"MSB","Fish specimens","MSB:Fish:24961",13,"Hybognathus amarus","Cyprinidae","stomach (formalin-fixed, 70% ethanol); gonad (formalin-fixed, 70% ethanol); whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"2 meters",1995,7,11,"Collector(s): Gregory M. Lein, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Gregory M. Lein, Christopher S. Altenbach, James P. Larson","2019-05-27 05:24:31.0","control","1991-2000","control_1991-2000",5
"1",359,"MSB","Fish specimens","MSB:Fish:1171",34,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 1994. Contribution 69 of Larval Fish Lab, CSU:101pp; Redet. K. R. Bestgen and D.L. Propst.","2019-05-26 21:37:20.0","impact","1931-1940","impact_1931-1940",5
"210",285,"MSB","Fish specimens","MSB:Fish:1150",121,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.906619,-106.685289,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, just north of Valencia County.",NA,"",1939,6,9,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; MSB01-003 Caudal sections removed from 2 of 129 specimens for DNA analysis (57.5 and 58.5mm SL), May 2001  MSB01-024  5 of 129 specimens for DNA analysis (42, 48, 48.5, 53, and 54.5mm SL), December 2001","2019-05-26 21:13:01.0","impact","1931-1940","impact_1931-1940",5
"3",358,"MSB","Fish specimens","MSB:Fish:1122",27,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,9,28,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 1994. Contribution 69 CSU Larval Fish Lab, Tech. Pub. No.101pp; Redet. K. R. Bestgen and D.L. Propst.","2019-05-26 21:18:18.0","impact","1931-1940","impact_1931-1940",5
"410",360,"MSB","Fish specimens","MSB:Fish:1149",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:37:26.0","impact","1931-1940","impact_1931-1940",5
"510",361,"MSB","Fish specimens","MSB:Fish:1160",24,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,28,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:59.0","impact","1931-1940","impact_1931-1940",5
"6",357,"MSB","Fish specimens","MSB:Fish:1162",33,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0","impact","1941-1950","impact_1941-1950",5
"91",346,"MSB","Fish specimens","MSB:Fish:1130",187,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.87537,-106.717837,650,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.6 kilometers downstream of NM HWY 147, Isleta.",NA,"",1949,10,29,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 21:56:44.0","impact","1941-1950","impact_1941-1950",5
"10",270,"MSB","Fish specimens","MSB:Fish:1154",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929201,-106.681499,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Isleta railroad bridge.",NA,"",1949,10,21,"Collector(s): William J. Koster, Kenneth R. Coburn","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn","2019-05-26 22:12:13.0","impact","1941-1950","impact_1941-1950",5
"11",223,"MSB","Fish specimens","MSB:Fish:1131",147,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,24,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; N=147 confirmed December 2003","2019-05-26 21:41:59.0","impact","1951-1960","impact_1951-1960",5
"131",305,"MSB","Fish specimens","MSB:Fish:4161",25,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1977,8,5,"Collector(s): Charles W. Painter, D. L. Chavez, D. Schneider","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Schneider","2019-05-27 03:13:15.0","impact","1971-1980","impact_1971-1980",5
"143",272,"MSB","Fish specimens","MSB:Fish:3966",27,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.134883,-106.690838,253,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, near return to Rio Grande, south of Montano Road, Albuquerque.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:32:13.0","impact","1971-1980","impact_1971-1980",5
"16",306,"MSB","Fish specimens","MSB:Fish:4423",1002,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,8,3,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:13:18.0","impact","1971-1980","impact_1971-1980",5
"17",308,"MSB","Fish specimens","MSB:Fish:4384",270,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0","impact","1971-1980","impact_1971-1980",5
"181",324,"MSB","Fish specimens","MSB:Fish:4096",455,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10625,-106.692633,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at US Interstate 40 bridge, south of Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Collection in two jars.  Original count N=453","2019-05-27 03:13:13.0","impact","1971-1980","impact_1971-1980",5
"191",269,"MSB","Fish specimens","MSB:Fish:4984",307,"Hybognathus amarus","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.196977,-106.642444,102,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:11:28.0","impact","1971-1980","impact_1971-1980",5
"231",317,"MSB","Fish specimens","MSB:Fish:68463",13,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande, Hwy 66, Old Town Bridge in Albquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:38:47.0","impact","1981-1990","impact_1981-1990",5
"311",337,"MSB","Fish specimens","MSB:Fish:5825",139,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.875039,-106.717581,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, east of Bosque Farms at end of NM State HWY 147",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"321",302,"MSB","Fish specimens","MSB:Fish:5814",808,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH; Collection in two jars.  N=50 GIFT(UF95397).","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"341",309,"MSB","Fish specimens","MSB:Fish:7593",20,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1988,5,24,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:29:19.0","impact","1981-1990","impact_1981-1990",5
"104",335,"MSB","Fish specimens","MSB:Fish:30053",20,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.16402778,-106.6694722,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 1.0 mile upstream of Montano Bridge crossing, Albuquerque.",NA,"1.5 meters",1995,12,30,"Collector(s): Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","MSB 1995-96 Monitoring of Rio Grande, Montano Bridge Construction Area; verbatim collectors: Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach","2019-05-27 05:24:51.0","impact","1991-2000","impact_1991-2000",5
"531",273,"MSB","Fish specimens","MSB:Fish:19173",80,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.002546,-106.685725,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 2.2 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 03:19:56.0","impact","1991-2000","impact_1991-2000",5
"661",342,"MSB","Fish specimens","MSB:Fish:20563",24,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1994,7,27,"Collector(s): Christopher S. Altenbach, Nancy M. Johnston, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Christopher S. Altenbach, Nancy M. Johnston, Gregory M. Lein; WATER WAS SLIGHTLY TURBID","2019-05-27 03:16:48.0","impact","1991-2000","impact_1991-2000",5
"118",349,"MSB","Fish specimens","MSB:Fish:30401",21,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol); egg",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"1.5 meters",1996,6,28,"Collector(s): Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach; FLOWS STILL UP FROM RAINSTORM ON 26 JUN 1996.","2019-05-27 04:57:30.0","impact","1991-2000","impact_1991-2000",5
